"지역","읍면동","전화번호","주소","일반현황","청사현황","자치센터현황","데이터기준일자",""
"제주시","애월읍","064-728-8809","제주특별자치도 제주시 애월읍 하귀로 21길 30","인구 26539명 / 면적202.16㎢ / 26개리70개자연마을317개반","지하 1층·지상2층 / 연면적 618.6㎡","대지면적 1592㎡ / 개소일 2006-03-11","2019-06-20",""
"제주시","구좌읍","064-728-7713","제주특별자치도 제주시 구좌읍 일주동로 3116","인구 15080명 / 면적 185.82㎢ / 12개리 60동(자연마을) 220반","지상 2층 / 연면적 1155㎡","총면적 1155㎡ / 개소일 2002-05-22","2019-06-20",""
"제주시","조천읍","064-728-7813","제주특별자치도 제주시 조천읍 신북로 194","인구 20804명 / 면적150.64㎢ / 12개리 244개반","지상 2층 / 연면적 1876.38㎡","총면적 555.3㎡ / 개관일 2007-05-10","2019-06-20",""
"제주시","한경면","064-728-7913","제주특별자치도 제주시 한경면 칠전로 37","인구 8745명('16.12.31.) / 면적79123㎢ / 15개리 51개자연마을 187개반","지상 2층 / 연면적 602.4㎡","총면적 3369.71㎡ / 개소일 2002-01-08","2019-06-20",""
"제주시","추자면","064-728-4264","제주특별자치도 제주시 추자면 추자로 26","인구 2820명 / 면적7.05㎢ / 6개리 9개마을 44개반","지하 1층·지상2층 / 연면적 705.46㎡","총면적 364.3㎡ / 개소일 2006-03-16","2019-06-20",""
"제주시","우도면","064-728-1527","제주특별자치도 제주시 우도면 우도로 153","인구 1718명 / 면적 6.07㎢ / 4개리 12개자연마을 20개반","지상 2층 / 연면적 402㎡","총면적 402㎡ / 개소일 : 2006-08-25","2019-06-20",""
"서귀포시","대정읍","064-760-4012","제주특별자치도 서귀포시 대정읍 하모중앙로 20","인구 16610명 / 면적 78.53㎢ / 23개리 240개반","지상 2층·지하 1층 / 연면적 986.95㎡(본관)","총면적 149㎡ / 개소일 2006-08-29","2019-06-20",""
"서귀포시","남원읍","064-760-4118","제주특별자치도 서귀포시 남원읍 태위로 695","인구 19151명 / 면적 188.70㎢ / 17개리 187개반('16.12.31 기준)","지상 3층·지하 1층 / 연면적 1044.02㎡","총면적 486m² / 개소일 2000-10-26","2019-06-20",""
"서귀포시","성산읍","064-760-4214","제주특별자치도 서귀포시 성산읍 일주동로 4330","인구 13866명 / 면적 107.673㎢ / 14개리 152개반","지하 1층·지상 2층 / 연면적 1272.22㎡","총면적 347.15㎡ 중 275.42㎡","2019-06-20",""
"서귀포시","안덕면","064-760-4320","제주특별자치도 서귀포시 안덕면 화순서서로 74","인구 11867명 ('18.12.31.기준) / 면적 105.58㎢ / 12개리 121개반","지상 2층","총면적  155㎡ / 개소일 2000-11-14","2019-06-20",""
"서귀포시","표선면","064-760-4413","제주특별자치도 서귀포시 표선면 표선중앙로 74","인구 11167명 / 면적 135.172㎢ / 10개리 94개반","지상 2 층 지하 1층","총면적 214㎡ / 개소일 2006-08-16","2019-06-20",""
"서귀포시","송산동","064-760-4503","제주특별자치도 서귀포시 소암로 4 (서귀동)","인구 5207명 / 면적 4.8㎢ / 2통 11반","지상 3층 지하 1층 / 연면적 1077㎡","총면적 276.6㎡ / 개소일 2000-12-28","2019-06-20",""
"서귀포시","정방동","064-760-4541","제주특별자치도 서귀포시 태평로421번길 7","인구 2444명","지상 3층 지하 1층 / 연면적 769.87㎡","","2019-06-20",""
"서귀포시","중앙동","064-760-4562","제주특별자치도 서귀포시 동문동로 27 (서귀동)","인구 4003명('17. 12. 31. 현재) 면적 0.45㎢ 8통 41반","지상 3층 지하 1층 (연면적 769.87㎡)","","2019-06-20",""
"서귀포시","천지동","064-760-4593","제주특별자치도 서귀포시 중정로47번길 3 (서귀동)","인구 3798명 / 면적 1.39㎢ / 6통 30반","지상 2층 지하 1층 / 연면적646㎡","총면적 53평 / 개소일 2001-01-05","2019-06-20",""
"서귀포시","효돈동","064-767-1535","제주특별자치도 서귀포시 남선동산로 26 (하효동)","인구 5475명 / 면적 6.6㎢ / 2통 9반","지상 3층 지하 1층","총면적 147평 / 개소일 2000-12-29","2019-06-20",""
"서귀포시","영천동","064-760-4664","제주특별자치도 서귀포시 토평로 15 (토평동)","2082 가구 4980명 / 면적 46.33㎢ / 5통 36반('12.12.31 현재)","지상 2층 지하 1층","총면적 136.5㎡ / 개소일 2001-01-04","2019-06-20",""
"서귀포시","동홍동","064-760-4682","제주특별자치도 서귀포시 동홍로 104 (동홍동)","인구 22225명 / 면적 14.3㎢ / 11통 124반","지상 2층 지하 1층 / 연면적 1934.31㎡","개소일 2001-01-04","2019-06-20",""
"서귀포시","서홍동","064-760-4745","제주특별자치도 서귀포시 중앙로 125(서홍동)","인구 10697명('18.12.31. 현재) / 면적 13.34k㎡ / 5통 30반","지상 3층 / 연면적 1134㎡","총면적 631.47㎡ / 개소일 2000-12-27","2019-06-20",""
"서귀포시","대륜동","064-760-4755","제주특별자치도 서귀포시 일주동로 9185 (법환동)","인구 10344명('15.05.31일현재) / 면적 22.24㎢ / 4통 17반","지상 3층 / 연면적 914.28㎡(부지면적 2029㎡)","총면적 526㎡ / 개소일 2001-01-05","2019-06-20",""
"서귀포시","대천동","064-760-4785","제주특별자치도 서귀포시 도순로 44 (도순동)","인구 11310명 / 면적 50.5㎢ / 7통 51반 ('17.4.30기준)","지상 2층 / 연면적 300.48㎡","총면적 90평 /  개소일 2000-12-28","2019-06-20",""
"서귀포시","중문동","064-760-4818","제주특별자치도 서귀포시 1100로 30 (중문동)","인구 10684명 / 면적 56.44㎢ / 4통 49반","지상 3층 / 연면적 2407.5㎡","총면적 2407.5㎡ / 개소일 2000-11-02","2019-06-20",""
"서귀포시","예래동","064-760-4864","제주특별자치도 서귀포시 예래로 82 (상예동)","인구 3813명 / 면적 37.7㎢ / 5통 30반","지상 2층·지하 1층 / 연면적 449.14㎡","총면적 47평 / 개소일 2000-12-27","2019-06-20",""
